TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X10min,.,15°C - 22°C,0.15358695652174287,0.1486041249492747,27.0,1.033530910223179,0.31052464565382615,Between-Group,Core Temp (°C ),0.4299572016745285,False
X10min,.,15°C - 8°C,0.0609205128205165,0.14860412494927472,27.0,0.4099516944183845,0.6850760157180652,Between-Group,Core Temp (°C ),0.7398820969755104,False
X10min,.,22°C - 8°C,-0.09266644370122636,0.14860412494927472,27.0,-0.623579215804794,0.5381368333181697,Between-Group,Core Temp (°C ),0.6293808602275989,False
X2hrs,.,15°C - 22°C,0.08201639344262426,0.13473471657335634,27.0,0.6087250229822573,0.5477944524203175,Between-Group,Core Temp (°C ),0.6293808602275989,False
X2hrs,.,15°C - 8°C,-0.15727341920374635,0.13473471657335634,27.0,-1.1672820725319062,0.2533022296500855,Between-Group,Core Temp (°C ),0.3696843351649896,False
X2hrs,.,22°C - 8°C,-0.23928981264637061,0.13473471657335634,27.0,-1.7760070955141634,0.08700434362285363,Between-Group,Core Temp (°C ),0.14113625055762793,False
.,15°C,X10min - X2hrs,0.2490000000000157,0.09616659167756131,27.0,2.58925678508907,0.015309909589757255,Within-Group,Core Temp (°C ),0.03306940471387567,True
.,22°C,X10min - X2hrs,0.1774294369208971,0.0961665916775613,27.0,1.8450215800077794,0.07603049921061031,Within-Group,Core Temp (°C ),0.1324402244313857,False
.,8°C,X10min - X2hrs,0.030806067975752846,0.09616659167756131,27.0,0.32034064469127765,0.7511761626710283,Within-Group,Core Temp (°C ),0.780067553542991,False
X10min,.,15°C - 22°C,-1.270999999999998,0.47690403879839643,27.0,-2.665106387445154,0.012831144539337381,Between-Group,Mean Skin Temp (°C ),0.028870075213509108,True
X10min,.,15°C - 8°C,0.21070000000000133,0.4769040387983965,27.0,0.4418079589572764,0.6621466232602704,Between-Group,Mean Skin Temp (°C ),0.7297126052256041,False
X10min,.,22°C - 8°C,1.4816999999999994,0.4769040387983965,27.0,3.1069143464024305,0.004413813186523796,Between-Group,Mean Skin Temp (°C ),0.011349805336775477,True
X2hrs,.,15°C - 22°C,-0.3728000000000046,0.6026759309759906,27.0,-0.6185745619478809,0.5413805600320901,Between-Group,Mean Skin Temp (°C ),0.6293808602275989,False
X2hrs,.,15°C - 8°C,-0.14660000000000586,0.6026759309759907,27.0,-0.243248473126507,0.8096515279900625,Between-Group,Mean Skin Temp (°C ),0.8096515279900625,False
X2hrs,.,22°C - 8°C,0.22619999999999876,0.6026759309759907,27.0,0.3753260888213737,0.7103504152179752,Between-Group,Mean Skin Temp (°C ),0.752135733760209,False
.,15°C,X10min - X2hrs,-1.9275999999999804,0.3051335572790675,27.0,-6.317233729350344,9.211267145184585e-07,Within-Group,Mean Skin Temp (°C ),7.108966269513446e-06,True
.,22°C,X10min - X2hrs,-1.029399999999987,0.30513355727906744,27.0,-3.373604690284929,0.002257186093948902,Within-Group,Mean Skin Temp (°C ),0.0065631295406848875,True
.,8°C,X10min - X2hrs,-2.2848999999999875,0.30513355727906755,27.0,-7.4881963831669776,4.691743872801088e-08,Within-Group,Mean Skin Temp (°C ),8.445138971041959e-07,True
X10min,.,15°C - 22°C,-0.3761563478260862,0.16717880079543324,27.0,-2.2500242018506067,0.032800521434317956,Between-Group,Mean Body Temp (°C ),0.06560104286863591,False
X10min,.,15°C - 8°C,0.15253312820512901,0.16717880079543324,27.0,0.912395157037732,0.3696359920125998,Between-Group,Mean Body Temp (°C ),0.49900858921700975,False
