TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X10min,.,22°C - 8°C,0.5286894760312152,0.16717880079543324,27.0,3.1624193588883385,0.003844363568417872,Between-Group,Mean Body Temp (°C ),0.010379781634728255,True
X2hrs,.,15°C - 22°C,-0.06084550819672352,0.23782874647612687,27.0,-0.25583748431702374,0.8000154170692404,Between-Group,Mean Body Temp (°C ),0.8096515279900625,False
X2hrs,.,15°C - 8°C,-0.1729189882903988,0.2378287464761269,27.0,-0.7270735386386789,0.4734384379959541,Between-Group,Mean Body Temp (°C ),0.5945505965530586,False
X2hrs,.,22°C - 8°C,-0.11207348009367529,0.2378287464761269,27.0,-0.47123605432165516,0.6412576373730245,Between-Group,Mean Body Temp (°C ),0.7214148420446527,False
.,15°C,X10min - X2hrs,-0.5627639999999869,0.12734884259274085,27.0,-4.419074320131007,0.00014494685307896908,Within-Group,Mean Body Temp (°C ),0.0008696811184738145,True
.,22°C,X10min - X2hrs,-0.2474531603706243,0.12734884259274082,27.0,-1.943112754954317,0.06249639018043045,Within-Group,Mean Body Temp (°C ),0.1124935023247748,False
.,8°C,X10min - X2hrs,-0.8882161164955148,0.12734884259274085,27.0,-6.974669721467457,1.697985705201217e-07,Within-Group,Mean Body Temp (°C ),2.292280702021643e-06,True
X10min,.,15°C - 22°C,-1.4170000000000065,0.4733863037653212,27.0,-2.9933269905131787,0.005840441729538625,Between-Group,Muscle Temp3 (°C ),0.014335629699776626,True
X10min,.,15°C - 8°C,-0.3940000000000077,0.4733863037653212,27.0,-0.8323012238971137,0.41254037352760253,Between-Group,Muscle Temp3 (°C ),0.5304090516783461,False
X10min,.,22°C - 8°C,1.0229999999999988,0.4733863037653212,27.0,2.1610257666160653,0.03972801844262043,Between-Group,Muscle Temp3 (°C ),0.07661832128219655,False
X2hrs,.,15°C - 22°C,-0.8619999999999999,0.29592316320037926,27.0,-2.912918308514807,0.007105107990137209,Between-Group,Muscle Temp3 (°C ),0.016681557889887358,True
X2hrs,.,15°C - 8°C,-1.1229999999999998,0.29592316320037926,27.0,-3.794904014457225,0.0007594926230594405,Between-Group,Muscle Temp3 (°C ),0.0031548155111699836,True
X2hrs,.,22°C - 8°C,-0.2609999999999998,0.29592316320037926,27.0,-0.8819857059424178,0.38556941157354163,Between-Group,Muscle Temp3 (°C ),0.5078231274383231,False
.,15°C,X10min - X2hrs,-1.0470000000000088,0.28114323487951554,27.0,-3.724080362270508,0.0009140126411546544,Within-Group,Muscle Temp3 (°C ),0.003525477330167953,True
.,22°C,X10min - X2hrs,-0.4920000000000023,0.28114323487951554,27.0,-1.7499976487460203,0.09147719943549959,Within-Group,Muscle Temp3 (°C ),0.14113625055762793,False
.,8°C,X10min - X2hrs,-1.7760000000000007,0.28114323487951554,27.0,-6.31706468327829,9.215326645665578e-07,Within-Group,Muscle Temp3 (°C ),7.108966269513446e-06,True
X10min,.,15°C - 22°C,-2.287000000000006,0.599040529142691,27.0,-3.8177717345319127,0.0007152999429865289,Between-Group,Muscle Temp2 (°C ),0.0031548155111699836,True
X10min,.,15°C - 8°C,-1.0650000000000055,0.5990405291426911,27.0,-1.777842980881721,0.08669578979032408,Between-Group,Muscle Temp2 (°C ),0.14113625055762793,False
X10min,.,22°C - 8°C,1.2220000000000009,0.5990405291426911,27.0,2.039928753650191,0.051251032676004706,Between-Group,Muscle Temp2 (°C ),0.09543295739669841,False
X2hrs,.,15°C - 22°C,-1.382000000000002,0.3876466508638067,27.0,-3.5651023862077555,0.001381165572487076,Between-Group,Muscle Temp2 (°C ),0.004661433807143882,True
X2hrs,.,15°C - 8°C,-1.6540000000000017,0.38764665086380673,27.0,-4.266772320396256,0.00021779393091973467,Between-Group,Muscle Temp2 (°C ),0.0011760872269665672,True
X2hrs,.,22°C - 8°C,-0.2719999999999998,0.38764665086380673,27.0,-0.7016699341885002,0.4888896293475523,Between-Group,Muscle Temp2 (°C ),0.6000009087447233,False
.,15°C,X10min - X2hrs,-2.1610000000000102,0.3308492439499026,27.0,-6.531675799528894,5.279256331680773e-07,Within-Group,Muscle Temp2 (°C ),5.701596838215235e-06,True
.,22°C,X10min - X2hrs,-1.256000000000006,0.3308492439499026,27.0,-3.796290978347196,0.0007567376989681695,Within-Group,Muscle Temp2 (°C ),0.0031548155111699836,True
.,8°C,X10min - X2hrs,-2.7500000000000067,0.33084924394990267,27.0,-8.311942826795194,6.3906293936743895e-09,Within-Group,Muscle Temp2 (°C ),1.7254699362920852e-07,True
X10min,.,15°C - 22°C,-2.5150000000000032,0.74747897282453,27.0,-3.364643142396993,0.0023092492828335714,Between-Group,Muscle Temp1 (°C ),0.0065631295406848875,True
X10min,.,15°C - 8°C,-1.2000000000000037,0.7474789728245301,27.0,-1.6053963303683492,0.12004094873619654,Between-Group,Muscle Temp1 (°C ),0.18006142310429482,False
X10min,.,22°C - 8°C,1.3149999999999997,0.7474789728245301,27.0,1.7592468120286435,0.08986473122916713,Between-Group,Muscle Temp1 (°C ),0.14113625055762793,False
X2hrs,.,15°C - 22°C,-1.4889999999999957,0.5983947662674663,27.0,-2.4883239024427777,0.01930073526773679,Between-Group,Muscle Temp1 (°C ),0.040086142479145645,True
X2hrs,.,15°C - 8°C,-2.1409999999999956,0.5983947662674665,27.0,-3.577905624667556,0.001336211642475496,Between-Group,Muscle Temp1 (°C ),0.004661433807143882,True
X2hrs,.,22°C - 8°C,-0.652,0.5983947662674665,27.0,-1.0895817222247788,0.28552699449693847,Between-Group,Muscle Temp1 (°C ),0.405748886916702,False
.,15°C,X10min - X2hrs,-2.3740000000000228,0.39415568460153244,27.0,-6.023000790664717,1.991273825615973e-06,Within-Group,Muscle Temp1 (°C ),1.344109832290782e-05,True
.,22°C,X10min - X2hrs,-1.348000000000015,0.3941556846015324,27.0,-3.4199684354743267,0.0020054514436466018,Within-Group,Muscle Temp1 (°C ),0.006370257526877441,True
.,8°C,X10min - X2hrs,-3.3150000000000146,0.3941556846015324,27.0,-8.410382317208693,5.065900221601073e-09,Within-Group,Muscle Temp1 (°C ),1.7254699362920852e-07,True
