TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X2hrs,.,15°C - 22°C,0.1868323166999994,0.19388157891956861,27.0,0.9636414028663672,0.34377770717577516,Between-Group,Palmitic Acid,0.9587581238028823,False
X2hrs,.,15°C - 8°C,0.1773708577999994,0.19388157891956861,27.0,0.9148412076506832,0.3683733895586626,Between-Group,Palmitic Acid,0.9587581238028823,False
X2hrs,.,22°C - 8°C,-0.009461458900000011,0.19388157891956861,27.0,-0.0488001952156841,0.9614377320891827,Between-Group,Palmitic Acid,0.9995801204593276,False
.,15°C,X10min - X2hrs,0.30691947130000097,0.47516414112158517,27.0,0.6459230500339173,0.5237815550790105,Within-Group,Palmitic Acid,0.9979364913093677,False
.,22°C,X10min - X2hrs,-0.529775906099999,0.47516414112158517,27.0,-1.1149324207199376,0.27470539915795955,Within-Group,Palmitic Acid,0.9587581238028823,False
.,8°C,X10min - X2hrs,0.44330677390000084,0.47516414112158517,27.0,0.9329550265590587,0.3591117906724721,Within-Group,Palmitic Acid,0.9587581238028823,False
X10min,.,15°C - 22°C,0.6367792431999995,0.4814400196949473,27.0,1.3226554028547088,0.19704436176909415,Between-Group,Phenylalanine,0.9578432860474494,False
X10min,.,15°C - 8°C,0.036485951199999644,0.4814400196949473,27.0,0.07578504010347556,0.94014887730551,Between-Group,Phenylalanine,0.9995801204593276,False
X10min,.,22°C - 8°C,-0.6002932919999999,0.4814400196949473,27.0,-1.2468703627512334,0.22315361389526742,Between-Group,Phenylalanine,0.9583024215269884,False
X2hrs,.,15°C - 22°C,0.007697174199999698,0.12440347611975065,27.0,0.061872661762203546,0.951119992589573,Between-Group,Phenylalanine,0.9995801204593276,False
X2hrs,.,15°C - 8°C,0.2126064636999997,0.12440347611975067,27.0,1.7090074194980285,0.09892177205943727,Between-Group,Phenylalanine,0.8087475535758233,False
X2hrs,.,22°C - 8°C,0.20490928949999998,0.12440347611975067,27.0,1.6471347577358249,0.11112163456140971,Between-Group,Phenylalanine,0.8259249253030201,False
.,15°C,X10min - X2hrs,-0.33895047520000043,0.36168662842226107,27.0,-0.9371385297780025,0.35699492051137094,Within-Group,Phenylalanine,0.9587581238028823,False
.,22°C,X10min - X2hrs,-0.9680325442000002,0.36168662842226107,27.0,-2.676439956939309,0.012494678283711627,Within-Group,Phenylalanine,0.6290101284366936,False
