Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
BMI_kg·m2,Dodecanoic_acid,Group_22C vs Group_15C (Reference),-1.2478602296496681,0.044388701346620194,-2.464413732462173,-0.03130672683716296,0.3329294969454627,0.19395647547576744,0.12065885076914505,0.6435569388289104,-1.127201378880523,0.04537546385419322,-0.8722040495033793,0.1290089552403373,0.9967266517932953,False
Muscle_Mass_kg,Ascorbic_Acid,Group_8C vs Group_15C (Reference),0.4407620733894471,0.04461906803015994,0.010592896333994128,0.8709312504449,0.2541338027463722,0.09874501165186644,-0.22083539025093313,0.2416755582169372,0.04534762602351128,0.19287972903079043,0.219926683138514,0.05002718902522374,0.9967266517932953,False
VO2max_ml_per_kg_per_min,2-OH-Butanoic_Acid,Group_8C vs Group_15C (Reference),-0.16385626285874408,0.045251895113863586,-0.3242475663653149,-0.00346495935217328,0.2892229867283773,0.14114444229678935,0.11679507339947282,0.05464279572754981,-0.08438637461865597,0.34058113524775835,-0.04706118945927126,0.39045473084966664,0.9967266517932953,False
BMI_kg·m2,Butanoic_acid,Group_8C vs Group_22C Contrast,-1.2439580233995307,0.04539486026600313,-2.462441610159286,-0.025474436639775222,0.3060885118649799,0.16152361850351737,0.31756580308880145,0.10480388632942796,0.47840080224984954,0.14152249089130597,-0.7655572211496812,0.14838762605297728,0.9967266517932953,False
Weight_kg,Ethyl_alpha-D-glucopyranoside,Group_22C vs Group_15C (Reference),-0.30419567896610444,0.04548864983974589,-0.602285934123534,-0.0061054238086749035,0.1955350419495855,0.027938175689082523,0.17613141469224555,0.029731783734398803,-0.1280642642738589,0.31973093614337933,-0.05410437427192169,0.8549030307879921,0.9967266517932953,False
VO2max_ml_per_kg_per_min,Tyrosine,Group_22C vs Group_15C (Reference),-0.2186917060409489,0.04607136678147659,-0.433570892644372,-0.0038125194375258353,0.4511145256617016,0.3367633851745562,-0.052669660784061184,0.33355838238762825,-0.2713613668250101,0.004343945613985545,0.03973104627304816,0.3381072976500832,0.9967266517932953,False
BSA_m2,Ascorbic_Acid,Group_8C vs Group_15C (Reference),37.482076723551245,0.047303208152783736,0.4461641011568531,74.51798934594564,0.40191361080506405,0.2773122797227857,-18.106545218157553,0.13199039172547467,-3.851827948830227,0.4808817651711035,19.375531505393692,0.18387417193761646,0.9967266517932953,False
Skinfold_Thickness_mm,"2,3-Butanediol",Group_8C vs Group_15C (Reference),0.13303852476954842,0.047544375835341296,0.0014405131554531547,0.2646365363836437,0.21752415185278207,0.054508350155445084,-0.05450177669774455,0.1822493311449136,-0.006024777512985392,0.9531947850442162,0.07853674807180386,0.14046310187298938,0.9967266517932953,False
Muscle_Mass_kg,"R*,R*-2,3-Dihydroxybutanoic_acid",Group_8C vs Group_15C (Reference),-0.4266006437502165,0.04759827272028411,-0.8486845604693858,-0.0045167270310472185,0.35933714979022,0.2258657226631826,0.2099716374715048,0.26575361435488487,0.10756641802046825,0.003564500641948909,-0.2166290062787117,0.03693731491486485,0.9967266517932953,False
BMI_kg·m2,"2-Ethyl-3-hydroxypropionic_acid,_di-",Group_8C vs Group_22C Contrast,-1.126897573711993,0.047631729715291046,-2.242052240433168,-0.011742906990817925,0.3393632512223501,0.20173059522700643,0.2009973719849218,0.42685155513664086,0.2802869141400961,0.5594421129759053,-0.846610659571897,0.00552745343007488,0.9967266517932953,False
Max_Watts_W,Ornithine,Group_8C vs Group_22C Contrast,-0.031660207888506105,0.048186963547925676,-0.06306857363197439,-0.0002518421450378172,0.19718850405835475,0.02993610907051203,0.0021415344484863,0.7505707373682728,0.02618519074769563,0.07537773498114753,-0.0054750171408104766,0.38628060930100805,0.9967266517932953,False
VO2max_ml_per_kg_per_min,L-Rhamnose,Group_22C vs Group_15C (Reference),-0.5597253068391647,0.048645922495680366,-1.1161240852023373,-0.003326528475991908,0.29581993838436926,0.14911575888111295,0.10602011751618785,0.15782547993180351,-0.4537051893229768,0.0974794739827669,0.004051775859672785,0.9538421105105994,0.9967266517932953,False
BSA_m2,Doconexent,Group_22C vs Group_15C (Reference),-6.1736073768044,0.049791006884108244,-12.341578239187138,-0.005636514421661687,0.20765527754772295,0.04258346037016525,6.818745317343856,7.403068316606949e-05,0.6451379405394562,0.8065809965717565,4.284150101671269,0.6714789705942525,0.9967266517932953,False
Skinfold_Thickness_mm,Ethyl_alpha-D-glucopyranoside,Group_22C vs Group_15C (Reference),-0.1040901329879726,0.05011611456268835,-0.20823299720297356,5.2731227028354755e-05,0.2400359709171096,0.08171013152484086,0.03518050811660985,0.0013428025276420834,-0.06890962487136273,0.18502641127985764,-0.042048587953618745,0.0436473833228308,0.9967266517932953,False
Body_Density_kg_per_m3,L-+-Erythrulose,Group_22C vs Group_15C (Reference),-342.08277861661253,0.050291953084830025,-684.600979218897,0.435421985671951,0.22644384887543867,0.06528631739115509,117.25124832954464,0.41870720147532847,-224.8315302870679,0.021185959746979677,-46.52620954686873,0.824508431771724,0.9967266517932953,False
Muscle_Mass_kg,beta-D-Xylopyranose,Group_22C vs Group_15C (Reference),0.4121335549687365,0.05044884711088566,-0.0008059921931140579,0.825073102130587,0.2040478651467964,0.03822450371904573,-0.4510442286386491,0.01372489354630876,-0.03891067366991263,0.7092589281997312,0.19490913374162244,0.1258483584020691,0.9967266517932953,False
Age_years,"11-Eicosenoic_acid,_E-",Group_22C vs Group_15C (Reference),-0.13787250448815042,0.050858796688011264,-0.2762600679853039,0.0005150590090030605,0.48837799898386336,0.3817900821055016,-0.0326463795832027,0.4472926095609163,-0.17051888407135313,0.002341521291700621,-0.09130003614910612,0.03141181702865481,0.9967266517932953,False
