Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
IL-11,Group,30,2.0,27.0,6.266361303275827,0.005814267748640221,0.3170214895463496,0.21900408519878165,False
IL-11,TimePoint,30,1.0,27.0,0.13174493065106485,0.7194558351590257,0.00485574853323315,0.8791266035576746,False
IL-12(p40),TimePoint:Group,30,2.0,27.0,0.3846892074507506,0.6843333006468013,0.027706000595556727,0.9097607408598654,False
IL-12(p40),Group,30,2.0,27.0,0.5638985816362342,0.5755440580457125,0.040095467011724464,0.9916550460599678,False
IL-12(p40),TimePoint,30,1.0,27.0,0.10428006077167548,0.7492402209349631,0.0038473650854353872,0.8791266035576746,False
IL-12(p70),TimePoint:Group,30,2.0,27.0,1.7398257885169646,0.19465960660633214,0.11416310216799876,0.7663524485767527,False
IL-12(p70),Group,30,2.0,27.0,0.5582098136666362,0.578696152603725,0.03970703390156936,0.9916550460599678,False
IL-12(p70),TimePoint,30,1.0,27.0,1.6896455528421985,0.20463610871929672,0.05889391521864969,0.6000948049262188,False
IL-19,TimePoint:Group,30,2.0,27.0,0.6963951843129736,0.5071095518589315,0.049054367342668145,0.8953653025009259,False
IL-19,Group,30,2.0,27.0,0.8959081265982617,0.42002822864391376,0.06223352627146585,0.9916550460599678,False
IL-19,TimePoint,30,1.0,27.0,0.9867374728100726,0.32936055645937967,0.035257324072472424,0.7511350268482675,False
IL-20,TimePoint:Group,30,2.0,27.0,0.3927489412354706,0.6789930713726882,0.028270066845427624,0.9097607408598654,False
IL-20,Group,30,2.0,27.0,0.17657387986403428,0.8390968886612753,0.012910680804642404,0.9916550460599678,False
IL-20,TimePoint,30,1.0,27.0,0.21145576019313927,0.6493103257810743,0.007770836005858674,0.8791266035576746,False
IL-26,TimePoint:Group,30,2.0,27.0,0.1499936207932422,0.8614256933181533,0.010988548783257645,0.9454739748064932,False
IL-26,Group,30,2.0,27.0,6.527108296082721,0.004871464590788125,0.3259136665955622,0.21900408519878165,False
IL-26,TimePoint,30,1.0,27.0,1.9775013810225763,0.17105915273990335,0.06824264642491384,0.56852012528262,False
IL-28A/IFN-lambda2,TimePoint:Group,30,2.0,27.0,0.4462718479004206,0.6446458151620792,0.03199936533343897,0.9097607408598654,False
IL-28A/IFN-lambda2,Group,30,2.0,27.0,0.022385777807617833,0.9778810538375013,0.0016554606691044453,0.9916550460599678,False
IL-28A/IFN-lambda2,TimePoint,30,1.0,27.0,2.0670190030926237,0.16200531798982526,0.07111217709916179,0.554745482813644,False
IL-29/IFN-lambda1,TimePoint:Group,30,2.0,27.0,3.2657341494295493,0.053678590958715106,0.19478623007634088,0.7663524485767527,False
IL-29/IFN-lambda1,Group,30,2.0,27.0,0.37135223866387124,0.6932694686483052,0.0267711634939811,0.9916550460599678,False
IL-29/IFN-lambda1,TimePoint,30,1.0,27.0,6.730774307459504,0.015129592549622251,0.19954402013152142,0.15542217800975586,False
IL-35,TimePoint:Group,30,2.0,27.0,0.056822731686009396,0.9448742017745182,0.00419144904456109,0.9706434981865506,False
IL-35,Group,30,2.0,27.0,2.5258148268896825,0.09872661586893947,0.157609135895644,0.9772975969663831,False
IL-35,TimePoint,30,1.0,27.0,0.0003288715879209716,0.9856646524605466,1.2180280821210246e-05,0.9856646524605466,False
MMP-1,TimePoint:Group,30,2.0,27.0,5.596085139208277,0.009263119223154467,0.2930488159438679,0.3353405618586275,False
MMP-1,Group,30,2.0,27.0,0.5915381956523046,0.5604894542132974,0.04197825584681829,0.9916550460599678,False
MMP-1,TimePoint,30,1.0,27.0,0.6862452327628544,0.41470755303407647,0.024786504164558142,0.7865515988012286,False
MMP-2,TimePoint:Group,30,2.0,27.0,1.4530579618439075,0.25156524939721725,0.09717463582042628,0.7663524485767527,False
MMP-2,Group,30,2.0,27.0,2.1125117420200157,0.14048287014424837,0.13530889692363424,0.9916550460599678,False
MMP-2,TimePoint,30,1.0,27.0,0.10353118175742686,0.7501104409431201,0.003819841077649343,0.8791266035576746,False
MMP-3,TimePoint:Group,30,2.0,27.0,0.8374841074336454,0.44373231371142563,0.05841220824784941,0.869659363243263,False
MMP-3,Group,30,2.0,27.0,1.7772504414711987,0.18831967677673833,0.1163331352248258,0.9916550460599678,False
MMP-3,TimePoint,30,1.0,27.0,2.9346470165597878,0.09815972155312881,0.09803513015992293,0.3995769286618528,False
Osteocalcin,TimePoint:Group,30,2.0,27.0,0.6274184373484931,0.5415741890168363,0.04441140043603396,0.9097607408598654,False
Osteocalcin,Group,30,2.0,27.0,0.6444747850784855,0.5328239360211695,0.045563712677289724,0.9916550460599678,False
Osteocalcin,TimePoint,30,1.0,27.0,4.362791030629018,0.04629162546046428,0.13910723144404782,0.29060853761291466,False
Osteopontin,TimePoint:Group,30,2.0,27.0,2.0129247847663425,0.1531584995088835,0.12975791558939487,0.7663524485767527,False
Osteopontin,Group,30,2.0,27.0,0.33549502681903287,0.7179222111294361,0.024248863244047413,0.9916550460599678,False
Osteopontin,TimePoint,30,1.0,27.0,0.478410775410938,0.49504826351431286,0.017410423743975906,0.8505694293555153,False
Pentraxin-3,TimePoint:Group,30,2.0,27.0,1.4001391639182548,0.2638982388963874,0.09396819375410877,0.7663524485767527,False
Pentraxin-3,Group,30,2.0,27.0,0.8871873051877432,0.4234783927380056,0.06166509730973201,0.9916550460599678,False
Pentraxin-3,TimePoint,30,1.0,27.0,0.09604219408808932,0.7590112413794731,0.003544510057968693,0.8791266035576746,False
sTNF-R1,TimePoint:Group,30,2.0,27.0,0.4121660522534709,0.6663105869317445,0.029626303388372004,0.9097607408598654,False
sTNF-R1,Group,30,2.0,27.0,0.3862228125838695,0.6833136976200866,0.027813381493048604,0.9916550460599678,False
sTNF-R1,TimePoint,30,1.0,27.0,18.300538034345323,0.0002114130455127588,0.4039805889384907,0.012894939021102936,True
sTNF-R2,TimePoint:Group,30,2.0,27.0,1.3910396508729204,0.2660835977918214,0.09341454213315299,0.7663524485767527,False
sTNF-R2,Group,30,2.0,27.0,0.31342457285971825,0.7335631497088548,0.022689852990946738,0.9916550460599678,False
sTNF-R2,TimePoint,30,1.0,27.0,10.398955522475799,0.0032889657127645293,0.2780547043947871,0.04645664069279898,True
TSLP,TimePoint:Group,30,2.0,27.0,1.3254251535914063,0.28242898178208475,0.08940216822519433,0.7784018278384287,False
TSLP,Group,30,2.0,27.0,0.650750067437647,0.5296429044096433,0.04598696636831222,0.9916550460599678,False
TSLP,TimePoint,30,1.0,27.0,16.784502554884426,0.00034234351383459125,0.38334345659962316,0.012894939021102936,True
TWEAK/TNFSF12,TimePoint:Group,30,2.0,27.0,0.8361498872876,0.4442901444187791,0.058324577648915715,0.869659363243263,False
TWEAK/TNFSF12,Group,30,2.0,27.0,3.288345289380692,0.05271076522797725,0.1958707205921422,0.9752450683697186,False
TWEAK/TNFSF12,TimePoint,30,1.0,27.0,0.06985996828351772,0.793547907636131,0.0025807288388402954,0.8791266035576746,False
1H-Indole-3-Acetic Acid,TimePoint:Group,30,2.0,27.0,2.0114284374151996,0.15335807966607085,0.12967396558807068,0.7663524485767527,False
1H-Indole-3-Acetic Acid,Group,30,2.0,27.0,0.056025753689408465,0.9456244090862973,0.004132904046317594,0.9916550460599678,False
1H-Indole-3-Acetic Acid,TimePoint,30,1.0,27.0,0.002285468390598832,0.9622222732946951,8.463981292525204e-05,0.9856646524605466,False
2-OH-Butanoic Acid,TimePoint:Group,30,2.0,27.0,1.392343600056732,0.2657692489654873,0.09349392126914315,0.7663524485767527,False
2-OH-Butanoic Acid,Group,30,2.0,27.0,0.02264456726210215,0.977628442523764,0.0016745664762145664,0.9916550460599678,False
2-OH-Butanoic Acid,TimePoint,30,1.0,27.0,1.0173540662569538,0.32210176120931605,0.036311568317659824,0.7511350268482675,False
3-OH-Butanoic Acid,TimePoint:Group,30,2.0,27.0,1.6014128617961272,0.22017526656891853,0.1060439096958547,0.7663524485767527,False
3-OH-Butanoic Acid,Group,30,2.0,27.0,0.17913016364241677,0.8369824782589149,0.013095142856270534,0.9916550460599678,False
3-OH-Butanoic Acid,TimePoint,30,1.0,27.0,0.20602212002071935,0.6535308310603727,0.007572666048415402,0.8791266035576746,False
Alanine,TimePoint:Group,30,2.0,27.0,0.725973823134818,0.49305890184952883,0.05103157310427577,0.8843754906189962,False
Alanine,Group,30,2.0,27.0,0.7335511682539226,0.4895271358756107,0.05153676405716746,0.9916550460599678,False
Alanine,TimePoint,30,1.0,27.0,0.042039456611821305,0.8390824978256827,0.0015545963786966737,0.8944936061726617,False
Arachidonic acid,TimePoint:Group,30,2.0,27.0,1.1340482558427312,0.336577714486475,0.07749381688624374,0.7904021051616524,False
Arachidonic acid,Group,30,2.0,27.0,3.1220741279164272,0.06029141483518057,0.1878269886110644,0.9752450683697186,False
Arachidonic acid,TimePoint,30,1.0,27.0,0.11147454910500496,0.7410509490674365,0.004111711035971111,0.8791266035576746,False
Arginine [-NH3],TimePoint:Group,30,2.0,27.0,1.4292657226588437,0.25703178155821116,0.09573583518508753,0.7663524485767527,False
Arginine [-NH3],Group,30,2.0,27.0,0.7959073362251216,0.4614743791611291,0.055673789533339506,0.9916550460599678,False
Arginine [-NH3],TimePoint,30,1.0,27.0,4.129715435573105,0.05208139243074892,0.13266152220761782,0.29954263428625416,False
Ascorbic Acid,TimePoint:Group,30,2.0,27.0,0.13978457260159105,0.8701707378750025,0.010248297680769689,0.9454739748064932,False
Ascorbic Acid,Group,30,2.0,27.0,0.24244751410543994,0.7863949224790873,0.017642236861853643,0.9916550460599678,False
Ascorbic Acid,TimePoint,30,1.0,27.0,0.43173543729833447,0.516700908867178,0.015738538973779734,0.8586353338528104,False
Asparagine,TimePoint:Group,30,2.0,27.0,2.0946924692917577,0.14266547113293404,0.13432085778007583,0.7663524485767527,False
Asparagine,Group,30,2.0,27.0,0.21302216426246676,0.8094834468256517,0.015534297378853819,0.9916550460599678,False
Asparagine,TimePoint,30,1.0,27.0,10.449498866794842,0.003224919476553638,0.2790290706949899,0.04645664069279898,True
Cholesterol,TimePoint:Group,30,2.0,27.0,0.9849028762997892,0.38649639104375366,0.06799513153183015,0.8240394752442295,False
Cholesterol,Group,30,2.0,27.0,1.0441781023193242,0.36576478408650925,0.07179354481040161,0.9916550460599678,False
Cholesterol,TimePoint,30,1.0,27.0,1.3095940963717996,0.26251222959982257,0.0462597270703941,0.6886166748771998,False
Citric acid,TimePoint:Group,30,2.0,27.0,0.04236484905899501,0.9585835868046375,0.003128319871099823,0.9758553631434599,False
Citric acid,Group,30,2.0,27.0,0.7124212323524513,0.49944413701549295,0.050126661791499036,0.9916550460599678,False
Citric acid,TimePoint,30,1.0,27.0,0.7657131457291522,0.3892645002383769,0.02757765095786607,0.7826702478761891,False
Cysteine,TimePoint:Group,30,2.0,27.0,1.1017648541006813,0.346763713757234,0.07545422523300446,0.7904021051616524,False
Cysteine,Group,30,2.0,27.0,0.7942698942136072,0.4621885403962977,0.05556561475973891,0.9916550460599678,False
Cysteine,TimePoint,30,1.0,27.0,0.09713431136654244,0.7576899857580408,0.0035846709932642992,0.8791266035576746,False
Decanoic acid,TimePoint:Group,30,2.0,27.0,0.5764859849671365,0.5686348451571679,0.04095382793566447,0.9097607408598654,False
Decanoic acid,Group,30,2.0,27.0,0.9580031642232684,0.3963178342665941,0.06626109797747685,0.9916550460599678,False
Decanoic acid,TimePoint,30,1.0,27.0,0.9814345684689322,0.33064059989848915,0.03507449076877811,0.7511350268482675,False
Glutamic Acid,TimePoint:Group,30,2.0,27.0,1.7205953113962091,0.1980061813650194,0.11304389060971468,0.7663524485767527,False
Glutamic Acid,Group,30,2.0,27.0,1.2651294848264774,0.29840278061994857,0.08568360244497683,0.9916550460599678,False
Glutamic Acid,TimePoint,30,1.0,27.0,0.09179806364235801,0.7642257762918399,0.0033884079390637616,0.8791266035576746,False
Glutamine [-H2O],TimePoint:Group,30,2.0,27.0,2.4100090461973465,0.108881755868939,0.1514775409114782,0.7663524485767527,False
Glutamine [-H2O],Group,30,2.0,27.0,1.6064854686671177,0.21917926772084267,0.10634409121825089,0.9916550460599678,False
Glutamine [-H2O],TimePoint,30,1.0,27.0,3.0117414940230316,0.09406539168877771,0.10035210701194507,0.3995769286618528,False
Glyceraldehyde-3-P(MOX),TimePoint:Group,30,2.0,27.0,2.00257735296906,0.15454434917258505,0.12917705923173642,0.7663524485767527,False
Glyceraldehyde-3-P(MOX),Group,30,2.0,27.0,0.10160836684814413,0.9037270547726395,0.007470319987730209,0.9916550460599678,False
Glyceraldehyde-3-P(MOX),TimePoint,30,1.0,27.0,0.6775645102009136,0.4176380170625993,0.024480640626858213,0.7865515988012286,False
Glycerol-3-P,TimePoint:Group,30,2.0,27.0,0.4246805410942843,0.6582716159623385,0.030498404601884705,0.9097607408598654,False
Glycerol-3-P,Group,30,2.0,27.0,0.2477646731388275,0.7822988040507741,0.018022178807215426,0.9916550460599678,False
Glycerol-3-P,TimePoint,30,1.0,27.0,0.9952716158284012,0.32731482902815645,0.03555141844973846,0.7511350268482675,False
Glycine,TimePoint:Group,30,2.0,27.0,2.30521530266018,0.11904201098353988,0.1458515596603223,0.7663524485767527,False
Glycine,Group,30,2.0,27.0,0.14337903717225167,0.867080901204762,0.0105090562082609,0.9916550460599678,False
Glycine,TimePoint,30,1.0,27.0,0.007435650669121815,0.9319197076450446,0.0002753186479938014,0.9661185959989913,False
Indole-3-Latic Acid,TimePoint:Group,30,2.0,27.0,2.0039950658209182,0.15435367873412253,0.12925668882846805,0.7663524485767527,False
Indole-3-Latic Acid,Group,30,2.0,27.0,3.1195854325437913,0.06041341131493832,0.1877053699808388,0.9752450683697186,False
Indole-3-Latic Acid,TimePoint,30,1.0,27.0,6.059000338872098,0.020512187017128414,0.1832783894480827,0.1782982409950393,False
Indole-3-Propionic Acid,TimePoint:Group,30,2.0,27.0,0.6371935785786268,0.5365406243099968,0.04507214073549463,0.9097607408598654,False
Indole-3-Propionic Acid,Group,30,2.0,27.0,1.2721350257304596,0.29649798571000474,0.08611720807551677,0.9916550460599678,False
Indole-3-Propionic Acid,TimePoint,30,1.0,27.0,1.617819038219372,0.21424282374675063,0.0565318774312871,0.6000948049262188,False
Lactic Acid,TimePoint:Group,30,2.0,27.0,0.5303359021078042,0.5944111506908765,0.037799230596334533,0.9097607408598654,False
Lactic Acid,Group,30,2.0,27.0,0.06757305155652281,0.9348169929471194,0.004980481866561284,0.9916550460599678,False
Lactic Acid,TimePoint,30,1.0,27.0,2.443854880374913,0.12963228712545077,0.0830005069072598,0.4842955797322272,False
Leucine,TimePoint:Group,30,2.0,27.0,1.1091442792697763,0.34440652380020276,0.07592123522550465,0.7904021051616524,False
Leucine,Group,30,2.0,27.0,0.3162581741224833,0.7315347059801454,0.022890291288478325,0.9916550460599678,False
Leucine,TimePoint,30,1.0,27.0,10.575159990724714,0.003071474685539616,0.2814401853068664,0.04645664069279898,True
Linoleic Acid,TimePoint:Group,30,2.0,27.0,1.1612559745780557,0.328242638556661,0.07920576358475838,0.7904021051616524,False
Linoleic Acid,Group,30,2.0,27.0,1.2331495433922406,0.3072665717562654,0.08369897690648931,0.9916550460599678,False
Linoleic Acid,TimePoint,30,1.0,27.0,2.80838283743541,0.10531698182175188,0.09421453195738115,0.4103730670985504,False
Lysine,TimePoint:Group,30,2.0,27.0,1.0175603266709727,0.3749227060506765,0.07009168922147059,0.8147358804562779,False
Lysine,Group,30,2.0,27.0,1.0318568854297656,0.36997370682587827,0.07100654056566905,0.9916550460599678,False
Lysine,TimePoint,30,1.0,27.0,4.619395968318325,0.04073440541529881,0.14609374489464694,0.28768673824554786,False
Methionine,TimePoint:Group,30,2.0,27.0,1.9062274131590982,0.16811472997437793,0.12373096683818326,0.7663524485767527,False
Methionine,Group,30,2.0,27.0,0.37778861842189804,0.6889413539152105,0.0272225373083149,0.9916550460599678,False
Methionine,TimePoint,30,1.0,27.0,0.6294883463358532,0.43446052527986967,0.02278320678418694,0.7934369834501748,False
Oleic Acid,TimePoint:Group,30,2.0,27.0,0.517015598063268,0.6020823003741289,0.03688485572739921,0.9097607408598654,False
Oleic Acid,Group,30,2.0,27.0,1.6069949231137424,0.21907950484032496,0.10637422805081082,0.9916550460599678,False
Oleic Acid,TimePoint,30,1.0,27.0,0.09996720384989227,0.7543003764005394,0.003688831174514878,0.8791266035576746,False
Ornithine,TimePoint:Group,30,2.0,27.0,0.7366570235982086,0.4880873706660176,0.05174367988054713,0.8843754906189962,False
Ornithine,Group,30,2.0,27.0,0.19149988471351231,0.8268314908805547,0.013986771816528366,0.9916550460599678,False
Ornithine,TimePoint,30,1.0,27.0,6.15646161619812,0.01961494206143687,0.18567908986978476,0.1782982409950393,False
Palmitic Acid,TimePoint:Group,30,2.0,27.0,1.2294737235257656,0.308303368374843,0.08347030902822161,0.7904021051616524,False
Palmitic Acid,Group,30,2.0,27.0,1.5814845041457883,0.22413549046639067,0.1048626548474754,0.9916550460599678,False
Palmitic Acid,TimePoint,30,1.0,27.0,0.07174852386782124,0.7908434730258256,0.0026503099275085283,0.8791266035576746,False
Phenylalanine,TimePoint:Group,30,2.0,27.0,1.3697405495689234,0.27127520303601865,0.09211596833198496,0.7663524485767527,False
Phenylalanine,Group,30,2.0,27.0,0.9070570588455726,0.4156613522265859,0.06295921888423855,0.9916550460599678,False
Phenylalanine,TimePoint,30,1.0,27.0,5.5047550287564,0.026557207437054007,0.1693523001138276,0.20935296412408796,False
Proline,TimePoint:Group,30,2.0,27.0,1.1433043506650358,0.33371687919764725,0.07807693695945833,0.7904021051616524,False
Proline,Group,30,2.0,27.0,0.38430313627316953,0.684590233839103,0.027678964691369042,0.9916550460599678,False
Proline,TimePoint,30,1.0,27.0,3.9501028648137986,0.057098650407349,0.12762810133676636,0.30724511885859224,False
Serine,TimePoint:Group,30,2.0,27.0,1.9671481865438678,0.15939237734238823,0.12718234562821673,0.7663524485767527,False
Serine,Group,30,2.0,27.0,0.3456707290408957,0.7108318604167665,0.024965979316253804,0.9916550460599678,False
Serine,TimePoint,30,1.0,27.0,0.24557447375988262,0.6242181216254417,0.009013371107164377,0.8791266035576746,False
Stearic Acid,TimePoint:Group,30,2.0,27.0,1.1539619290585437,0.3304551917446342,0.0787474359934195,0.7904021051616524,False
Stearic Acid,Group,30,2.0,27.0,0.9102791105022215,0.41440842251890087,0.06316873556174284,0.9916550460599678,False
Stearic Acid,TimePoint,30,1.0,27.0,0.025823795285392876,0.8735277158126307,0.0009555229650353078,0.9225105783815633,False
Threonine,TimePoint:Group,30,2.0,27.0,1.743583667040032,0.19401276754183805,0.11438148043954008,0.7663524485767527,False
Threonine,Group,30,2.0,27.0,0.24510115403968163,0.7843477965359833,0.01783189161671949,0.9916550460599678,False
Threonine,TimePoint,30,1.0,27.0,0.1445534598378962,0.7067701755044422,0.005325320972834285,0.8791266035576746,False
Tryptophan,TimePoint:Group,30,2.0,27.0,1.3870763435325195,0.26704150395924087,0.09317318669727352,0.7663524485767527,False
Tryptophan,Group,30,2.0,27.0,0.7643342909620019,0.4754561993218418,0.0535835935537693,0.9916550460599678,False
Tryptophan,TimePoint,30,1.0,27.0,0.7258533118816268,0.40172455200724755,0.02617965635598923,0.7826702478761891,False
Tyrosine,TimePoint:Group,30,2.0,27.0,2.05849911791848,0.14721156522947704,0.13230704981997518,0.7663524485767527,False
Tyrosine,Group,30,2.0,27.0,2.439009798215911,0.10623749383042617,0.153021412816304,0.9772975969663831,False
Tyrosine,TimePoint,30,1.0,27.0,2.9190964768969754,0.09901021241178654,0.09756633122765096,0.3995769286618528,False
Valine,TimePoint:Group,30,2.0,27.0,2.9930926677950835,0.06697728466927912,0.1814755260327548,0.7663524485767527,False
Valine,Group,30,2.0,27.0,1.0465081589221854,0.36497463573040556,0.07194222472424103,0.9916550460599678,False
Valine,TimePoint,30,1.0,27.0,2.4015318270333372,0.13285984930707118,0.0816805002256801,0.4842955797322272,False
"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",TimePoint:Group,30,2.0,27.0,0.3364421880636,0.7172590411683495,0.024315657413279363,0.9387986007508663,False
"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",Group,30,2.0,27.0,0.5599631686330081,0.5777226624460773,0.03982678773172426,0.9916550460599678,False
"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",TimePoint,30,1.0,27.0,1.7481134098398814,0.19720624200075001,0.06080793493883806,0.6000948049262188,False
1-Ethyl-1-tetradecyloxy-1-silacyclohexane,TimePoint:Group,30,2.0,27.0,2.8110147537863597,0.07780591908724968,0.17233843486861078,0.7663524485767527,False
1-Ethyl-1-tetradecyloxy-1-silacyclohexane,Group,30,2.0,27.0,0.3282852766355574,0.7229918702843003,0.02374012902309965,0.9916550460599678,False
1-Ethyl-1-tetradecyloxy-1-silacyclohexane,TimePoint,30,1.0,27.0,0.9718096314845843,0.33298151580511826,0.03474246551394845,0.7511350268482675,False
1-Heptadecanol,TimePoint:Group,30,2.0,27.0,0.39249635550860773,0.6791597488722338,0.028252399386304416,0.9097607408598654,False
1-Heptadecanol,Group,30,2.0,27.0,0.4228273766896551,0.6594554388402127,0.030369361427088827,0.9916550460599678,False
1-Heptadecanol,TimePoint,30,1.0,27.0,0.5458414747306903,0.4663963373386929,0.01981574878485454,0.8234810331136296,False
1-Monooleoylglycerol,TimePoint:Group,30,2.0,27.0,1.0876813001043895,0.3513106172624271,0.07456163030492077,0.7904021051616524,False
1-Monooleoylglycerol,Group,30,2.0,27.0,2.2853433753679164,0.12108111820822445,0.14477628525547678,0.9772975969663831,False
1-Monooleoylglycerol,TimePoint,30,1.0,27.0,3.5744935476573865,0.06945072940548748,0.11691096508551206,0.3567242010372766,False
1-Monopalmitin,TimePoint:Group,30,2.0,27.0,0.471299358427183,0.6292295335317412,0.03373339489307453,0.9097607408598654,False
1-Monopalmitin,Group,30,2.0,27.0,0.07954625169904248,0.9237509184434194,0.005857798944430107,0.9916550460599678,False
1-Monopalmitin,TimePoint,30,1.0,27.0,0.3107543635590995,0.5818102626123103,0.011378461371749617,0.8791266035576746,False
"1,3-Dioxolane-2-methanol",TimePoint:Group,30,2.0,27.0,1.6351398211610364,0.21364314856311395,0.10803599044885485,0.7663524485767527,False
"1,3-Dioxolane-2-methanol",Group,30,2.0,27.0,0.1824910725250543,0.8342112322738495,0.013337561965708357,0.9916550460599678,False
"1,3-Dioxolane-2-methanol",TimePoint,30,1.0,27.0,0.6270626463013732,0.4353371059638127,0.02269740559571657,0.7934369834501748,False
"1,5-Anhydrohexitol",TimePoint:Group,30,2.0,27.0,0.20958322869072857,0.8122289535931047,0.015287352299092746,0.9454739748064932,False
"1,5-Anhydrohexitol",Group,30,2.0,27.0,0.25422267417322636,0.7773546219552155,0.018483245487263263,0.9916550460599678,False
"1,5-Anhydrohexitol",TimePoint,30,1.0,27.0,5.408884175168306,0.02779021647664885,0.1668951064755446,0.20935296412408796,False
"11-Eicosenoic acid, (E)-",TimePoint:Group,30,2.0,27.0,0.22909855957373515,0.7967802619961101,0.016687079532543485,0.9454739748064932,False
"11-Eicosenoic acid, (E)-",Group,30,2.0,27.0,0.1846469761595315,0.8324387660271213,0.013493002521819598,0.9916550460599678,False
"11-Eicosenoic acid, (E)-",TimePoint,30,1.0,27.0,2.1265276182111226,0.15630366941111665,0.07300999439705022,0.5519473326080057,False
2-Aminoadipic acid,TimePoint:Group,30,2.0,27.0,6.175162591461616,0.006188828102709215,0.3138557337331198,0.3353405618586275,False
2-Aminoadipic acid,Group,30,2.0,27.0,1.1555208773169248,0.3299809627751334,0.07884543217466816,0.9916550460599678,False
