Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
APRIL/TNFSF13,TimePoint:Group,30,2.0,27.0,0.29388561728546386,0.7477156997130794,0.02130549907686551,0.9387986007508663,False
APRIL/TNFSF13,Group,30,2.0,27.0,1.3089522748071487,0.28669978829305803,0.08838925607410635,0.9916550460599678,False
APRIL/TNFSF13,TimePoint,30,1.0,27.0,0.19784017818460267,0.6600151827887023,0.007274113565212076,0.8791266035576746,False
BAFF/TNFSF13B,TimePoint:Group,30,2.0,27.0,2.6183790337005672,0.09134135653879273,0.16244679618378613,0.7663524485767527,False
BAFF/TNFSF13B,Group,30,2.0,27.0,0.30400923650093536,0.7403466546307632,0.022023256525869738,0.9916550460599678,False
BAFF/TNFSF13B,TimePoint,30,1.0,27.0,0.9151081406002542,0.34725035790131875,0.03278182323317974,0.7511350268482675,False
sCD30/TNFRSF8,TimePoint:Group,30,2.0,27.0,0.010952643761128818,0.9891115102746819,0.0008106492598940723,0.9891115102746819,False
sCD30/TNFRSF8,Group,30,2.0,27.0,0.43445760941311384,0.6520635843794959,0.031178652344503573,0.9916550460599678,False
sCD30/TNFRSF8,TimePoint,30,1.0,27.0,10.733377408267321,0.002889436812062775,0.2844531326240533,0.04645664069279898,True
sCD163,TimePoint:Group,30,2.0,27.0,0.4217259642445852,0.6601601171071361,0.03029264944071672,0.9097607408598654,False
sCD163,Group,30,2.0,27.0,0.10019043539593642,0.9049998669216728,0.007366840624170982,0.9916550460599678,False
sCD163,TimePoint,30,1.0,27.0,9.042763522151162,0.00564626801942726,0.2508898496807455,0.06380282861952803,False
Chitinase 3-like1,TimePoint:Group,30,2.0,27.0,1.5505381119722599,0.23043768254868613,0.10302210462088744,0.7663524485767527,False
Chitinase 3-like1,Group,30,2.0,27.0,0.6852005159085756,0.5125389865331598,0.04830390061389187,0.9916550460599678,False
Chitinase 3-like1,TimePoint,30,1.0,27.0,3.245652560659539,0.082791377741119,0.1073097217575379,0.37421702738985785,False
gp130/sIL-6Rb,TimePoint:Group,30,2.0,27.0,1.5386677060058045,0.23290535306116236,0.10231409697225545,0.7663524485767527,False
gp130/sIL-6Rb,Group,30,2.0,27.0,2.7094517970496197,0.0846512657807914,0.16715258671133984,0.9772975969663831,False
gp130/sIL-6Rb,TimePoint,30,1.0,27.0,12.419136392192899,0.001535335751033854,0.3150534874389727,0.04337323496670637,True
IFN-a2,TimePoint:Group,30,2.0,27.0,0.10358284602312987,0.9019578570394611,0.007614379770062654,0.9615211117496142,False
IFN-a2,Group,30,2.0,27.0,0.05440981356349448,0.9471474820994413,0.004014177991656133,0.9916550460599678,False
IFN-a2,TimePoint,30,1.0,27.0,0.04688955529092259,0.8301946706412265,0.0017336394706336958,0.8944936061726617,False
IFN-y,TimePoint:Group,30,2.0,27.0,3.2272465001577246,0.05537015081213907,0.19293351718869534,0.7663524485767527,False
IFN-y,Group,30,2.0,27.0,0.23998733041591447,0.7882979354298344,0.017466342919011262,0.9916550460599678,False
IFN-y,TimePoint,30,1.0,27.0,4.379293919946125,0.04590981629651748,0.13955998918007664,0.29060853761291466,False
sIL-6Ra,TimePoint:Group,30,2.0,27.0,0.16923856880672677,0.8451961499454665,0.012380979961307432,0.9454739748064932,False
sIL-6Ra,Group,30,2.0,27.0,0.04820916828519067,0.9530162786425207,0.0035583424854439675,0.9916550460599678,False
sIL-6Ra,TimePoint,30,1.0,27.0,3.3500904207985203,0.07826198177519109,0.11038156309751049,0.37421702738985785,False
IL-10,TimePoint:Group,30,2.0,27.0,0.304794673668398,0.7397781998084776,0.022078899460183266,0.9387986007508663,False
IL-10,Group,30,2.0,27.0,0.08888410525430844,0.9152181960791115,0.006540942182290032,0.9916550460599678,False
IL-10,TimePoint,30,1.0,27.0,0.22636541604171695,0.6380590983437965,0.008314198850366671,0.8791266035576746,False
IL-11,TimePoint:Group,30,2.0,27.0,0.47485073639385705,0.6270742573787642,0.033978948709429295,0.9097607408598654,False
