Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Expected_Hits,Enrichment_Ratio,Log2_Enrichment_Ratio
R-HSA-9009391,Extra-nuclear estrogen signaling,2,80,0.0065816536404771,0.002736300393404,0.016417802360424,1,39,0.0024820212562846,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272,0.14476190476190476,13.81578947368421,3.7882460991098994
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,2,89,0.0073220896750308,0.0033699342264772,0.0168496711323862,2,44,0.0028002291096544,9606,Homo sapiens,O75888;Q9UNG2,O75888;Q9UNG2,R-HSA-5676607;R-HSA-5675947,0.16104761904761905,12.418687167356593,3.634440763030864
R-HSA-9020591,Interleukin-12 signaling,1,46,0.0037844508432743,0.0444799769518285,0.0444799769518285,1,56,0.0035639279577419,9606,Homo sapiens,P01579,P01579,R-HSA-9006431,0.08323809523809525,12.013729977116704,3.586612237940249
R-HSA-1474228,Degradation of the extracellular matrix,3,140,0.011517893870835,0.0003109640237751732,0.0021767481664262,46,105,0.0066823649207662,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-8940554;R-HSA-4086205;R-HSA-1474197;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-2534248;R-HSA-1592278;R-HSA-1564120;R-HSA-1564184;R-HSA-1604360;R-HSA-1454791;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-1592270;R-HSA-375135;R-HSA-1564169;R-HSA-8943959;R-HSA-1604359;R-HSA-1592314;R-HSA-1604731;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1454781;R-HSA-1592371;R-HSA-1592436;R-HSA-1454843;R-HSA-1454822;R-HSA-1592297;R-HSA-1602473;R-HSA-2514772;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-2533970;R-HSA-2484882;R-HSA-1564143;R-HSA-1564142;R-HSA-2485148;R-HSA-2168923,0.25333333333333335,11.842105263157894,3.5658536777734513
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,1,51,0.0041958041958041,0.0492038335116531,0.0492038335116531,1,9,0.0005727741360656781,9606,Homo sapiens,P08253,P08253,R-HSA-3928657,0.09228571428571428,10.8359133126935,3.4377488520257664
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2,124,0.0102015631427396,0.0064173376387342,0.0294837926492339,1,14,0.0008909819894354992,9606,Homo sapiens,P03956;P08253,P03956;P08253,R-HSA-381435,0.22438095238095238,8.913412563667233,3.1559778836103867
R-HSA-8939211,ESR-mediated signaling,2,195,0.0160427807486631,0.0152648155239047,0.0371945695842566,1,111,0.00706421434481,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272,0.35285714285714287,5.668016194331984,2.502843880247651
R-HSA-1474244,Extracellular matrix organization,3,321,0.0264088852324146,0.0033877282467305,0.0169386412336525,47,330,0.0210017183224081,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-8940554;R-HSA-4086205;R-HSA-1474197;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-2534248;R-HSA-1592278;R-HSA-1564120;R-HSA-1564184;R-HSA-1604360;R-HSA-1454791;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-1592270;R-HSA-375135;R-HSA-1564169;R-HSA-8943959;R-HSA-1604359;R-HSA-1592314;R-HSA-1604731;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1454781;R-HSA-1592371;R-HSA-1592436;R-HSA-1454843;R-HSA-1454822;R-HSA-2213200;R-HSA-1592297;R-HSA-1602473;R-HSA-2514772;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-2533970;R-HSA-2484882;R-HSA-1564143;R-HSA-1564142;R-HSA-2485148;R-HSA-2168923,0.5808571428571428,5.164781111657649,2.368707207596115
R-HSA-418990,Adherens junctions interactions,2,236,0.0194158782394076,0.0218624704898645,0.0394911839911564,10,162,0.0103099344491822,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510,0.42704761904761906,4.683318465655664,2.2275311446354205
R-HSA-421270,Cell-cell junction organization,2,269,0.0221308103661044,0.0278957432369494,0.0394911839911564,10,167,0.010628142302552,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510,0.48676190476190473,4.108784973586382,2.038711831440638
R-HSA-9006931,Signaling by Nuclear Receptors,2,270,0.0222130810366104,0.028088162082587,0.0394911839911564,1,192,0.0122191815694011,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272,0.48857142857142855,4.093567251461988,2.0333585969464307
R-HSA-5684996,MAPK1/MAPK3 signaling,2,286,0.0235294117647058,0.0312411449497405,0.0394911839911564,2,82,0.005218608795265,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858,0.5175238095238095,3.8645564961354437,1.9503028572188725
R-HSA-446728,Cell junction organization,2,296,0.0243521184697655,0.0332815172375535,0.0394911839911564,10,183,0.0116464074333354,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510,0.5356190476190476,3.7339971550497872,1.9007208283683124
R-HSA-5683057,MAPK family signaling cascades,2,325,0.0267379679144385,0.0394911839911564,0.0394911839911564,2,122,0.0077642716222236,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858,0.5880952380952381,3.40080971659919,1.7658782860814448
R-HSA-1500931,Cell-Cell communication,2,334,0.0274784039489921,0.041503985019074,0.041503985019074,10,206,0.0131101635588366,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510,0.6043809523809524,3.309171131421368,1.7264699015232097
R-HSA-913531,Interferon Signaling,2,361,0.0296997120526532,0.0477752723504482,0.0477752723504482,28,157,0.0099917265958123,9606,Homo sapiens,P01579;P01563,P01579;P01563,R-HSA-9689680;R-HSA-9732753;R-HSA-9734547;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-873922;R-HSA-909724;R-HSA-909726;R-HSA-909720;R-HSA-9732738;R-HSA-909722;R-HSA-877269;R-HSA-909719;R-HSA-909718;R-HSA-912680;R-HSA-909732;R-HSA-909729;R-HSA-9732729;R-HSA-909730;R-HSA-997311;R-HSA-877308;R-HSA-997309;R-HSA-873919;R-HSA-873918;R-HSA-909552,0.6532380952380952,3.0616707974923463,1.6143191671100912
