Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Mean_Body_Temp_°C_,2-Aminoheptanedioic_acid,Group_8C vs Group_15C (Reference),8.075745112917845,0.011560202060637929,1.8078892317983133,14.343600994037377,0.35109627978695956,0.2159080047425762,-2.944668307648747,0.29760213379298794,5.467739246011405,0.053434510079904074,5.131076805269098,0.0005977417946207986,0.9032446528651696,False
Mean_Skin_Temp_°C_,Methyl_galactoside,Group_8C vs Group_22C Contrast,-3.4999727063673145,0.012188469670462113,-6.236682345966617,-0.7632630667680118,0.2997119495008864,0.15381860564690453,1.5179414810553333,0.34177844788902834,2.3752970235983097,0.011746726764418902,-1.1246756827690048,0.2748708185154731,0.9032446528651696,False
Mean_Body_Temp_°C_,"9-Hexadecenoic_acid,_Z-",Group_8C vs Group_15C (Reference),-2.9121751538488123,0.012844373828374354,-5.206239231000055,-0.6181110766975704,0.2993309950336749,0.15335828566569054,2.1247152682399513,1.7725199202021246e-15,1.7908049826077068,0.22552070271583613,-0.787459885608861,0.4895641400035051,0.9032446528651696,False
Muscle_Temp1_°C_,D---Ribofuranose,Group_8C vs Group_15C (Reference),-3.302917112052603,0.013597334507623793,-5.926219535465641,-0.6796146886395644,0.2694181465494947,0.11721359374730611,2.3133444688027973,0.00015026360205973432,-0.925672560235383,0.6176120811348369,-0.9895726432498058,0.40612857999832896,0.9032446528651696,False
Muscle_Temp2_°C_,"D-Arabinose,_tetrakis",Group_8C vs Group_22C Contrast,6.557460072602768,0.013739832682472818,1.3412864167948424,11.773633728410694,0.1841092628247447,0.01413202591323326,-0.8973651659411741,0.6899350717001856,-3.114208828343976,0.17906408412993668,3.443251244258792,0.008473582878056884,0.9032446528651696,False
Mean_Skin_Temp_°C_,Palmitelaidic_acid,Group_8C vs Group_22C Contrast,-3.552844191204006,0.01650418129749793,-6.45727311668524,-0.6484152657227717,0.370157066146782,0.23893978826069495,-1.4854802648494674,0.16752620938811835,2.081568681001267,0.07135204883098822,-1.4712755102027388,0.11332155177544156,0.9985735007953371,False
Mean_Skin_Temp_°C_,Indole-3-Latic_Acid,Group_8C vs Group_22C Contrast,0.5704922165187454,0.017144073703003727,0.10138531421285835,1.0395991188246323,0.3146636349120284,0.1718852255187011,0.05595200415935459,0.8410183063309646,-0.5011777284693468,0.016936478227984386,0.06931448804939852,0.5469124329232755,0.9985735007953371,False
Muscle_Temp2_°C_,3-OH-Butanoic_Acid,Group_8C vs Group_22C Contrast,1.4670019518656066,0.017204198706000096,0.26005641157448656,2.6739474921567266,0.19436902490824481,0.02652923843079591,0.9891402850617804,0.6505603486186406,-1.3896298255111534,0.012673064839754389,0.07737212635445334,0.7674242132853994,0.9985735007953371,False
Mean_Skin_Temp_°C_,Ascorbic_Acid,Group_8C vs Group_15C (Reference),4.237325324438093,0.018638041510332493,0.7073250612912436,7.767325587584942,0.3651490802692715,0.23288847199203644,-3.1530955240234237,0.04579678169372813,1.2167097686300887,0.004871612307529638,1.0842298004146689,0.21103120801584296,0.9985735007953371,False
Mean_Body_Temp_°C_,Glutamine_[-H2O],Group_8C vs Group_22C Contrast,3.7182173612416833,0.019452490860430025,0.5994737044112792,6.8369610180720874,0.34395572463721624,0.2072798339366363,0.41880405033750845,0.700381648227772,-3.1361942922679322,0.026451259108715597,0.5820230689737511,0.4263306557062754,0.9985735007953371,False
Mean_Skin_Temp_°C_,2-Keto-3-methylvaleric_acid,Group_8C vs Group_22C Contrast,1.9528817620753431,0.020573591484790585,0.29998367623301125,3.605779847917675,0.23688695207161437,0.07790506708653411,1.5761666027420804,0.23859859313968523,-1.8923034126413825,0.01220052199211974,0.060578349433960677,0.8718911559683462,0.9985735007953371,False
Mean_Skin_Temp_°C_,DL-Ornithine,Group_8C vs Group_22C Contrast,-0.8260580390312309,0.021386778035194336,-1.5296709636445958,-0.12244511441786599,0.08862571379881257,-0.10124392915976799,0.009979081714953028,0.9856713655017707,0.7558625836947651,0.012678113967912408,-0.07019545533646573,0.7148743459391258,0.9985735007953371,False
Mean_Skin_Temp_°C_,Aminomalonic_acid,Group_8C vs Group_22C Contrast,2.7224583048886273,0.022303735751239603,0.3873790311378067,5.057537578639447,0.4285883310082198,0.30954423330159897,3.3005021172350237,0.2587925159602501,-2.4613320903684444,0.02918663939601851,0.2611262145201829,0.49393460411739176,0.9985735007953371,False
Muscle_Temp1_°C_,beta-D-Xylopyranose,Group_8C vs Group_15C (Reference),-2.372443901898806,0.0224394098341661,-4.40933273125928,-0.3355550725383325,0.26869492452635746,0.1163397004693486,2.5087541539781437,3.2311979548699906e-09,-1.0004768457999225,0.5496304055604877,0.13631025207933778,0.8857763935704943,0.9985735007953371,False
