Pathway name,#Entities total,Expected_Hits,#Entities found,Raw p,Holm p,Entities FDR
Tobramycin Action Pathway,17,0.0139,1,0.0139,1,0.47
Tigecycline Action Pathway,17,0.0139,1,0.0139,1,0.47
Arbekacin Action Pathway,17,0.0139,1,0.0139,1,0.47
Paromomycin Action Pathway,17,0.0139,1,0.0139,1,0.47
Rolitetracycline Action Pathway,17,0.0139,1,0.0139,1,0.47
Methacycline Action Pathway,17,0.0139,1,0.0139,1,0.47
Lincomycin Action Pathway,17,0.0139,1,0.0139,1,0.47
Chloramphenicol Action Pathway,17,0.0139,1,0.0139,1,0.47
Troleandomycin Action Pathway,17,0.0139,1,0.0139,1,0.47
Josamycin Action Pathway,17,0.0139,1,0.0139,1,0.47
Glycolysis and gluconeogenesis,17,0.0139,1,0.0139,1,0.47
Biogenic amine synthesis,17,0.0139,1,0.0139,1,0.47
Methionine salvage pathway,18,0.0148,1,0.0147,1,0.488
Organic anion transporters,18,0.0148,1,0.0147,1,0.488
Molybdenum cofactor biosynthesis,19,0.0156,1,0.0155,1,0.51
Sarcosine Oncometabolite Pathway,20,0.0164,1,0.0163,1,0.526
Aerobic glycolysis,20,0.0164,1,0.0163,1,0.526
Phenylalanine metabolism,21,0.0172,1,0.0171,1,0.531
Ethanol effects on histone modifications,21,0.0172,1,0.0171,1,0.531
Hereditary leiomyomatosis and renal cell carcinoma pathway,21,0.0172,1,0.0171,1,0.531
"Inactivation, recovery and regulation of the phototransduction cascade",22,0.018,1,0.0179,1,0.531
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",22,0.018,1,0.0179,1,0.531
"Incretin synthesis, secretion, and inactivation",22,0.018,1,0.0179,1,0.531
MTHFR deficiency,22,0.018,1,0.0179,1,0.531
Biomarkers for urea cycle disorders,22,0.018,1,0.0179,1,0.531
Lactate shuttle in glial cells,22,0.018,1,0.0179,1,0.531
Metabolism of amino acids and derivatives,282,0.231,2,0.0185,1,0.531
Krebs cycle disorders,23,0.0189,1,0.0187,1,0.531
Methionine metabolism leading to sulfur amino acids and related disorders,23,0.0189,1,0.0187,1,0.531
Free fatty acid receptors,24,0.0197,1,0.0195,1,0.531
Synthesis of wybutosine at G37 of tRNA(Phe),24,0.0197,1,0.0195,1,0.531
Phenylalanine and Tyrosine Metabolism,24,0.0197,1,0.0195,1,0.531
